OBJECT_NAME,NORAD_CAT_ID,COUNTRY,LAUNCH_DATE,inclination,eccentricity,mean_motion,cluster,cluster_mean_motion,orbit_type
CZ-3B R/B,43649,PRC,2018-10-15,0.959397017845771,0.5506807,4.64304911,-1,5.894403762666666,MEO
YZ-1 R/B,43650,PRC,2018-10-15,0.9475985921022892,0.0106764,1.77586082,3,1.68749591765625,Unclassified
HAIYANG 2B,43655,PRC,2018-10-24,1.7337123404930552,0.0001431,13.793026609999998,0,14.787722438177877,LEO
CZ-4B R/B,43656,PRC,2018-10-24,1.7345884957775566,0.020601,14.31674604,0,14.787722438177877,LEO
CZ-4B DEB,43659,PRC,2018-10-24,1.7369987954745607,0.0117564,15.19774708,0,14.787722438177877,LEO
CZ-4B DEB,43660,PRC,2018-10-24,1.7303857429387541,0.0014291,13.904913809999998,0,14.787722438177877,LEO
CZ-4B DEB,43661,PRC,2018-10-24,1.7306807035823413,0.0014056,13.89360195,0,14.787722438177877,LEO
CFOSAT,43662,PRC,2018-10-29,1.699318882253255,0.0001425,15.16361926,0,14.787722438177877,LEO
OBJECT B,43663,PRC,2018-10-29,1.69783535238906,0.0009373,16.19286847,0,14.787722438177877,LEO
OBJECT C,43664,PRC,2018-10-29,1.6979767240584713,0.0004334,16.25392187,0,14.787722438177877,LEO
OBJECT D,43665,PRC,2018-10-29,1.6978807309496118,0.0003963,16.246614800000003,0,14.787722438177877,LEO
OBJECT E,43666,PRC,2018-10-29,1.6986032972599374,0.0007706,16.23468144,0,14.787722438177877,LEO
CZ-2C R/B,43667,PRC,2018-10-29,1.7031900225341785,0.0022953,16.37465543,0,14.787722438177877,LEO
OBJECT G,43668,PRC,2018-10-29,1.6981896542272146,0.000998,16.28477917,0,14.787722438177877,LEO
OBJECT H,43669,PRC,2018-10-29,1.6981739462639467,0.0010882,16.298640160000005,0,14.787722438177877,LEO
BEIDOU 3G1,43683,PRC,2018-11-01,0.049324749990611746,0.000387,1.00271302,1,0.9983499662585034,GEO
CZ-3B R/B,43684,PRC,2018-11-01,0.4897742946946488,0.1591513,12.84420503,-1,5.894403762666666,MEO
BEIDOU 3M17,43706,PRC,2018-11-18,0.9456525499863156,0.0009723,1.86228166,3,1.68749591765625,Unclassified
BEIDOU 3M18,43707,PRC,2018-11-18,0.9456647672910796,0.0008004,1.8622985000000003,3,1.68749591765625,Unclassified
YZ-1 R/B,43708,PRC,2018-11-18,0.9452755588678848,0.01567,1.7735034500000002,3,1.68749591765625,Unclassified
CZ-3B R/B,43709,PRC,2018-11-18,0.9558016395866626,0.0938248,14.37114039,0,14.787722438177877,LEO
TIANZHI 1,43710,PRC,2018-11-19,1.6985579186993855,0.0005446,15.893180489999999,0,14.787722438177877,LEO
SHIYAN 6 (SY-6),43711,PRC,2018-11-19,1.6995003964954625,0.0015785,15.256833189999998,0,14.787722438177877,LEO
TIANPING 1A,43712,PRC,2018-11-19,1.698379895115682,0.0006329,16.28380856,0,14.787722438177877,LEO
JIADING 1,43713,PRC,2018-11-19,1.6984828695415497,0.0008521,16.31601094,0,14.787722438177877,LEO
TIANPING 1B,43714,PRC,2018-11-19,1.6983641871524142,0.0006592,15.82057947,0,14.787722438177877,LEO
CZ-2D DEB,43715,PRC,2018-11-19,1.6980255932775272,0.0004416,16.205039279999998,0,14.787722438177877,LEO
CZ-2D DEB,43716,PRC,2018-11-19,1.6995771909825503,0.0007185,16.20930439,0,14.787722438177877,LEO
CZ-2D DEB,43718,PRC,2018-11-19,1.699320627582507,0.0001128,16.17967521,0,14.787722438177877,LEO
CHANG'E 4,43845,PRC,2018-12-07,0.5040475973174584,0.001,16.01555694,0,14.787722438177877,LEO
CZ-3B R/B,43846,PRC,2018-12-07,0.5040475973174584,0.001,16.01555694,0,14.787722438177877,LEO
HONGYUN 1,43871,PRC,2018-12-21,1.7417216564304574,0.001205,13.50748547,0,14.787722438177877,LEO
CZ-11 R/B,43872,PRC,2018-12-21,1.7524571766594743,0.0330755,14.01733716,0,14.787722438177877,LEO
TJS-3,43874,PRC,2018-12-24,0.030764918724904045,0.0002239,1.00269902,1,0.9983499662585034,GEO
CZ-3C R/B,43875,PRC,2018-12-24,0.49393166897289925,0.6648795,3.1488573399999997,2,2.2784453160077516,MEO
YUNHAI 2-1A,43909,PRC,2018-12-29,0.8728094883250803,4.15e-05,14.288251710000003,0,14.787722438177877,LEO
YUNHAI 2-1B,43910,PRC,2018-12-29,0.8728618482026401,0.0005083,14.28820157,0,14.787722438177877,LEO
YUNHAI 2-1C,43911,PRC,2018-12-29,0.8728531215563802,3.66e-05,14.28801382,0,14.787722438177877,LEO
YUNHAI 2-1D,43912,PRC,2018-12-29,0.8728374135931123,0.0015841,14.28837311,0,14.787722438177877,LEO
YUNHAI 2-1E,43913,PRC,2018-12-29,0.8728164696420883,0.0004992,14.288175870000002,0,14.787722438177877,LEO
HONGYAN 1,43914,PRC,2018-12-29,0.8727623644352764,0.0006514,13.43801783,0,14.787722438177877,LEO
YUNHAI 2-1F,43915,PRC,2018-12-29,0.8728670841903962,0.0007124,14.288189870000002,0,14.787722438177877,LEO
CZ-2D R/B,43916,PRC,2018-12-29,0.8727047685699606,0.000687,16.33247316,0,14.787722438177877,LEO
TJS-3 AKM,43917,PRC,2018-12-24,0.06790377987809139,0.0006277,0.9835624899999998,1,0.9983499662585034,GEO
CHINASAT 2D,43920,PRC,2019-01-10,0.00045204027626653137,0.0002136,1.00265768,1,0.9983499662585034,GEO
CZ-3B R/B,43921,PRC,2019-01-10,0.46699076663911476,0.1234114,13.645660949999998,0,14.787722438177877,LEO
LINGQUE 1A,43942,PRC,2019-01-21,1.7016349341706514,0.0024694,16.08142507,0,14.787722438177877,LEO
JILIN-01-09,43943,PRC,2019-01-21,1.7013678987950964,0.0004062,15.16624478,0,14.787722438177877,LEO
XIAOXIANG 3,43944,PRC,2019-01-21,1.7014045507093882,0.0009051,16.20363009,0,14.787722438177877,LEO
CZ-11 R/B,43945,PRC,2019-01-21,1.699004722987896,0.0186954,16.1256169,0,14.787722438177877,LEO
JILIN-01-10,43946,PRC,2019-01-21,1.7013801160998603,0.0007613,15.20809993,0,14.787722438177877,LEO
CHINASAT 6C,44067,PRC,2019-03-09,0.0012461650859239514,0.0008167,1.00272794,1,0.9983499662585034,GEO
CZ-3B R/B,44068,PRC,2019-03-09,0.4215022503443866,0.0854437,14.520905,0,14.787722438177877,LEO
TIANLIAN 2-01,44076,PRC,2019-03-31,0.0006510078109938849,0.0002612,1.00272196,1,0.9983499662585034,GEO
CZ-3B R/B,44077,PRC,2019-03-31,0.4676086131943208,0.5536608,4.8724517,-1,5.894403762666666,MEO
BEIDOU 3 IGSO-1,44204,PRC,2019-04-20,1.016973684539812,0.0024282,1.00278809,3,1.68749591765625,Unclassified
CZ-3B R/B,44205,PRC,2019-04-20,0.4922736061835047,0.5302324,5.253250550000001,-1,5.894403762666666,MEO
TIANHUI 2-01A,44207,PRC,2019-04-29,1.7013068122712764,0.0001979,15.167623249999998,0,14.787722438177877,LEO
CZ-4C DEB,44208,PRC,2019-04-29,1.6999210208451931,0.0005399,16.2378913,0,14.787722438177877,LEO
TIANHUI 2-01B,44209,PRC,2019-04-29,1.7012841229910005,0.0001677,15.167634409999998,0,14.787722438177877,LEO
CZ-4C R/B,44210,PRC,2019-04-29,1.7010869007855254,0.0016833,16.41511859,0,14.787722438177877,LEO
CZ-4C DEB,44211,PRC,2019-04-29,1.6998005931268056,0.0012687,16.09196497,0,14.787722438177877,LEO
CZ-4C DEB,44212,PRC,2019-04-29,1.6997011093594419,0.0011942,16.148659009999996,0,14.787722438177877,LEO
CZ-4C DEB,44213,PRC,2019-04-29,1.6988808046110044,0.0011396,16.14037679,0,14.787722438177877,LEO
BEIDOU 2 G8,44231,PRC,2019-05-17,0.03237585762449481,0.0003846,1.00267271,1,0.9983499662585034,GEO
CZ-3C R/B,44232,PRC,2019-05-17,0.33926757197816976,0.6469827,3.417509,2,2.2784453160077516,MEO
OBJECT A,44310,PRC,2019-06-05,0.7849565950966937,0.0011835,15.195406150000002,0,14.787722438177877,LEO
OBJECT B,44311,PRC,2019-06-05,0.7849653217429537,0.0032852,15.194308630000002,0,14.787722438177877,LEO
OBJECT C,44312,PRC,2019-06-05,0.7851119294001213,0.0010267,15.240339009999998,0,14.787722438177877,LEO
OBJECT D,44313,PRC,2019-06-05,0.7851625439484291,0.0012398,15.641720599999998,0,14.787722438177877,LEO
OBJECT E,44314,PRC,2019-06-05,0.7855011378233159,0.0013474,15.26506299,0,14.787722438177877,LEO
OBJECT F,44315,PRC,2019-06-05,0.7851258920341372,0.0012973,15.42050746,0,14.787722438177877,LEO
OBJECT G,44316,PRC,2019-06-05,0.7849618310844497,0.0015337,15.18726499,0,14.787722438177877,LEO
CZ-11 R/B,44317,PRC,2019-06-05,0.7834311773304508,0.001838,16.37039877,0,14.787722438177877,LEO
CZ-11 DEB,44318,PRC,2019-06-05,0.7834852825372625,0.0049151,16.09162043,0,14.787722438177877,LEO
CZ-11 DEB,44319,PRC,2019-06-05,0.7837750071930935,0.0170981,15.6479604,0,14.787722438177877,LEO
CZ-11 DEB,44320,PRC,2019-06-05,0.7832252284787155,0.0050447,16.07707176,0,14.787722438177877,LEO
CZ-11 DEB,44325,PRC,2019-06-05,0.7836004742678941,0.0045358,16.086250180000004,0,14.787722438177877,LEO
CZ-11 DEB,44326,PRC,2019-06-05,0.7839285961672691,0.0252061,15.413540239999998,0,14.787722438177877,LEO
CZ-11 DEB,44327,PRC,2019-06-05,0.7834974998420265,0.0055885,16.05998559,0,14.787722438177877,LEO
CZ-11 DEB,44328,PRC,2019-06-05,0.783626654206674,0.0057066,16.07621182,0,14.787722438177877,LEO
BEIDOU 3 IGSO-2,44337,PRC,2019-06-24,0.9636852918179211,0.0035098,1.00250652,3,1.68749591765625,Unclassified
CZ-3B R/B,44338,PRC,2019-06-24,0.49694934324959744,0.1598794,12.861103879999998,-1,5.894403762666666,MEO
CAS 7B,44443,PRC,2019-07-25,0.7456639976465453,0.0013539,16.14036943,0,14.787722438177877,LEO
YAOGAN-30 N,44449,PRC,2019-07-26,0.6107744810769116,0.0004746,15.00368652,0,14.787722438177877,LEO
YAOGAN-30 P,44450,PRC,2019-07-26,0.6107622637721477,0.0008304,15.00383386,0,14.787722438177877,LEO
YAOGAN-30 Q,44451,PRC,2019-07-26,0.6107779717354156,9.52e-05,15.003718359999999,0,14.787722438177877,LEO
CZ-2C R/B,44452,PRC,2019-07-26,0.6098913444754025,0.0006324,16.25575375,0,14.787722438177877,LEO
OBJECT A,44486,PRC,2019-08-17,1.6989122205375404,0.0016583,16.36040589,0,14.787722438177877,LEO
OBJECT B,44487,PRC,2019-08-17,1.699343316862783,0.0008144,16.22666349,0,14.787722438177877,LEO
OBJECT C,44488,PRC,2019-08-17,1.6995108684709743,0.0008602,16.25781154,0,14.787722438177877,LEO
CZ-11 DEB,44492,PRC,2019-06-05,0.7835585863658462,0.0076932,15.949018309999998,0,14.787722438177877,LEO
CHINASAT 18,44493,PRC,2019-08-19,0.49465947127098087,0.6496578,3.39708039,2,2.2784453160077516,MEO
CZ-3B R/B,44494,PRC,2019-08-19,0.49590040036914884,0.0221781,15.98551561,0,14.787722438177877,LEO
XAIOXIANG-1 07,44519,PRC,2019-08-30,1.7053804107454313,0.0007216,16.34741332,0,14.787722438177877,LEO
KX-09,44520,PRC,2019-08-30,1.7067051156476951,0.0008957,14.95495687,0,14.787722438177877,LEO
KZ-1A R/B,44521,PRC,2019-08-30,1.7038951355519842,0.0018186,16.44593012,0,14.787722438177877,LEO
CZ-3C DEB,44526,PRC,2010-10-31,0.3713990835073853,0.7003278,2.49113815,2,2.2784453160077516,MEO
CZ-3C DEB,44527,PRC,2010-10-31,0.34625237964465105,0.7160137,2.2370704,2,2.2784453160077516,MEO
ZY-1 02D,44528,PRC,2019-09-12,1.7167459948344186,6.42e-05,14.354313250000002,0,14.787722438177877,LEO
BNU-1,44529,PRC,2019-09-12,1.7204146769221105,0.0013043,14.47881549,0,14.787722438177877,LEO
TAURUS-1,44530,PRC,2019-09-12,1.7211389885616881,0.0009921,14.66606246,0,14.787722438177877,LEO
CZ-4B R/B,44531,PRC,2019-09-12,1.7228738458381703,0.0146167,15.097772460000002,0,14.787722438177877,LEO
CZ-4B DEB,44532,PRC,2019-09-12,1.726420354878223,0.0018659,15.390362419999999,0,14.787722438177877,LEO
ZHUHAI-1 03A,44534,PRC,2019-09-19,1.7018949882291985,0.0011033,16.31902171,0,14.787722438177877,LEO
CZ-11 R/B,44535,PRC,2019-09-19,1.6994637445811707,0.0344741,15.82153258,0,14.787722438177877,LEO
ZHUHAI-1 03B,44536,PRC,2019-09-19,1.7021550422877458,0.0011903,15.34947825,0,14.787722438177877,LEO
ZHUHAI-1 03C,44537,PRC,2019-09-19,1.7026088278932643,0.0016844,15.452281309999998,0,14.787722438177877,LEO
ZHUHAI-1 03D,44538,PRC,2019-09-19,1.701856590985655,0.0010539,15.320925099999998,0,14.787722438177877,LEO
ZHUHAI-1 03E,44539,PRC,2019-09-19,1.7022004208482975,0.0010791,15.28773425,0,14.787722438177877,LEO
BEIDOU 3M23,44542,PRC,2019-09-22,0.9496249193638547,0.0008578,1.86229336,3,1.68749591765625,Unclassified
BEIDOU 3M24,44543,PRC,2019-09-22,0.9495987394250749,0.0005778,1.8622940200000002,3,1.68749591765625,Unclassified
YZ-1 R/B,44544,PRC,2019-09-22,0.9505132919531198,0.0034521,1.8043242499999999,3,1.68749591765625,Unclassified
CZ-3B R/B,44545,PRC,2019-09-22,0.9563095303989929,0.0762247,14.78732555,0,14.787722438177877,LEO
YUNHAI 1-02,44547,PRC,2019-09-25,1.7178211176536469,0.0004943,14.3253455,0,14.787722438177877,LEO
CZ-2D R/B,44548,PRC,2019-09-25,1.7157267225512538,0.0006912,14.406065419999997,0,14.787722438177877,LEO
CZ-2D DEB,44549,PRC,2019-09-25,1.7168140626752464,0.0039328,14.393586719999998,0,14.787722438177877,LEO
CZ-4B DEB,44589,PRC,1999-10-14,1.7246575723337088,0.0081731,14.75850132,0,14.787722438177877,LEO
CZ-3A DEB,44590,PRC,2007-04-13,0.9205913672569291,0.3877566,7.5492392,-1,5.894403762666666,MEO
CZ-3A DEB,44591,PRC,2007-04-13,0.9613273519984766,0.5874292,3.8736853599999996,-1,5.894403762666666,MEO
CZ-4B DEB,44592,PRC,2008-05-27,1.726118412917628,0.0070267,14.42754736,0,14.787722438177877,LEO
CZ-4B DEB,44593,PRC,2008-10-25,1.7077156612845996,0.0018691,15.068351199999999,0,14.787722438177877,LEO
